0,1,2,3,4,5,6,7,8,9
2018-19,Yes,Sun Sep 30,Moose,0,Goldfish,0,,,https://www.dmyha.com/game/show/22772687?subseason=545898
2018-19,Yes,Sun Sep 30,Iowinds,0,Benders,0,,,https://www.dmyha.com/game/show/22772689?subseason=545898
2018-19,Yes,Sun Sep 30,Jesters,0,Wolverines,0,,,https://www.dmyha.com/game/show/22772691?subseason=545898
2018-19,Yes,Sun Sep 30,Voodoo,0,Knights,0,,,https://www.dmyha.com/game/show/22772710?subseason=545898
2018-19,Yes,Sun Sep 30,Wild Goose,0,Bandits,0,,,https://www.dmyha.com/game/show/22772711?subseason=545898
2018-19,Yes,Sun Sep 30,Vicious Squirrels,0,Stampede,0,,,https://www.dmyha.com/game/show/22772712?subseason=545898
2018-19,Yes,Sun Oct  7,Bandits,0,Knights,0,,,https://www.dmyha.com/game/show/22772713?subseason=545898
2018-19,Yes,Sun Oct  7,Goldfish,0,Wild Goose,0,,,https://www.dmyha.com/game/show/22772714?subseason=545898
2018-19,Yes,Sun Oct  7,Voodoo,0,Moose,0,,,https://www.dmyha.com/game/show/22772715?subseason=545898
2018-19,,Sun Oct  7,Vicious Squirrels,4,Benders,8,,,https://www.dmyha.com/game/show/22772717?subseason=545898
2018-19,,Sun Oct  7,Iowinds,4,Stampede,4,,,https://www.dmyha.com/game/show/22772719?subseason=545898
2018-19,,Sun Oct  7,Wolverines,4,Jesters,2,,,https://www.dmyha.com/game/show/22772720?subseason=545898
2018-19,,Sun Oct 14,Knights,6,Bandits,1,,,https://www.dmyha.com/game/show/22772722?subseason=545898
2018-19,,Sun Oct 14,Wolverines,2,Stampede,1,,,https://www.dmyha.com/game/show/22772724?subseason=545898
2018-19,,Sun Oct 14,Wild Goose,4,Voodoo,0,,,https://www.dmyha.com/game/show/22772726?subseason=545898
2018-19,,Sun Oct 14,Jesters,6,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/22772727?subseason=545898
2018-19,,Sun Oct 14,Goldfish,2,Moose,2,,,https://www.dmyha.com/game/show/22772728?subseason=545898
2018-19,,Sun Oct 14,Iowinds,4,Benders,1,,,https://www.dmyha.com/game/show/22772729?subseason=545898
2018-19,,Sun Oct 21,Stampede,3,Jesters,8,,,https://www.dmyha.com/game/show/22772730?subseason=545898
2018-19,,Sun Oct 21,Moose,3,Voodoo,1,,,https://www.dmyha.com/game/show/22772731?subseason=545898
2018-19,,Sun Oct 21,Vicious Squirrels,4,Iowinds,10,,,https://www.dmyha.com/game/show/22772732?subseason=545898
2018-19,,Sun Oct 21,Benders,5,Wolverines,0,,,https://www.dmyha.com/game/show/22772733?subseason=545898
2018-19,,Sun Oct 21,Wild Goose,6,Bandits,0,,,https://www.dmyha.com/game/show/22772735?subseason=545898
2018-19,,Sun Oct 21,Knights,6,Goldfish,1,,,https://www.dmyha.com/game/show/22772736?subseason=545898
2018-19,,Sun Oct 28,Voodoo,0,Knights,3,,,https://www.dmyha.com/game/show/22772738?subseason=545898
2018-19,,Sun Oct 28,Benders,6,Jesters,6,,,https://www.dmyha.com/game/show/22772740?subseason=545898
2018-19,,Sun Oct 28,Goldfish,5,Bandits,2,,,https://www.dmyha.com/game/show/22772749?subseason=545898
2018-19,,Sun Oct 28,Stampede,8,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/22772760?subseason=545898
2018-19,,Sun Oct 28,Wolverines,1,Iowinds,4,,,https://www.dmyha.com/game/show/22772762?subseason=545898
2018-19,,Sun Oct 28,Wild Goose,2,Moose,1,,,https://www.dmyha.com/game/show/22772765?subseason=545898
2018-19,,Sun Nov 11,Bandits,1,Voodoo,4,,,https://www.dmyha.com/game/show/22772771?subseason=545898
2018-19,,Sun Nov 11,Benders,0,Stampede,6,,,https://www.dmyha.com/game/show/22772772?subseason=545898
2018-19,,Sun Nov 11,Iowinds,7,Jesters,5,,,https://www.dmyha.com/game/show/22772775?subseason=545898
2018-19,,Sun Nov 11,Vicious Squirrels,4,Wolverines,7,,,https://www.dmyha.com/game/show/22772776?subseason=545898
2018-19,,Sun Nov 11,Goldfish,2,Wild Goose,5,,,https://www.dmyha.com/game/show/22772777?subseason=545898
2018-19,,Sun Nov 11,Knights,6,Moose,3,,,https://www.dmyha.com/game/show/22772779?subseason=545898
2018-19,,Sun Nov 18,Benders,5,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/22772783?subseason=545898
2018-19,,Sun Nov 18,Iowinds,2,Stampede,4,,,https://www.dmyha.com/game/show/22772784?subseason=545898
2018-19,,Sun Nov 18,Wild Goose,0,Knights,3,,,https://www.dmyha.com/game/show/22772785?subseason=545898
2018-19,,Sun Nov 18,Moose,2,Bandits,3,,,https://www.dmyha.com/game/show/22772786?subseason=545898
2018-19,,Sun Nov 18,Voodoo,1,Goldfish,4,,,https://www.dmyha.com/game/show/22772787?subseason=545898
2018-19,,Sun Nov 18,Jesters,2,Wolverines,4,,,https://www.dmyha.com/game/show/22772788?subseason=545898
2018-19,,Sun Nov 25,Moose,3,Goldfish,2,,,https://www.dmyha.com/game/show/22772792?subseason=545898
2018-19,,Sun Nov 25,Benders,2,Iowinds,3,,,https://www.dmyha.com/game/show/22772795?subseason=545898
2018-19,,Sun Nov 25,Vicious Squirrels,6,Jesters,8,,,https://www.dmyha.com/game/show/22772796?subseason=545898
2018-19,,Sun Nov 25,Stampede,5,Wolverines,5,,,https://www.dmyha.com/game/show/22772798?subseason=545898
2018-19,,Sun Nov 25,Bandits,0,Knights,3,,,https://www.dmyha.com/game/show/22772801?subseason=545898
2018-19,,Sun Nov 25,Voodoo,0,Wild Goose,6,,,https://www.dmyha.com/game/show/22772802?subseason=545898
2018-19,,Sun Dec  2,Wild Goose,6,Bandits,4,,,https://www.dmyha.com/game/show/22772806?subseason=545898
2018-19,,Sun Dec  2,Jesters,5,Stampede,3,,,https://www.dmyha.com/game/show/22772807?subseason=545898
2018-19,,Sun Dec  2,Voodoo,5,Moose,0,,,https://www.dmyha.com/game/show/22772809?subseason=545898
2018-19,,Sun Dec  2,Goldfish,0,Knights,3,,,https://www.dmyha.com/game/show/22772812?subseason=545898
2018-19,,Sun Dec  2,Wolverines,4,Benders,5,,,https://www.dmyha.com/game/show/22772814?subseason=545898
2018-19,,Sun Dec  2,Iowinds,8,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/22772815?subseason=545898
2018-19,,Sun Dec  9,Moose,0,Wild Goose,4,,,https://www.dmyha.com/game/show/22772818?subseason=545898
2018-19,,Sun Dec  9,Knights,4,Voodoo,1,,,https://www.dmyha.com/game/show/22772819?subseason=545898
2018-19,,Sun Dec  9,Vicious Squirrels,3,Stampede,5,,,https://www.dmyha.com/game/show/22772820?subseason=545898
2018-19,,Sun Dec  9,Benders,4,Jesters,4,,,https://www.dmyha.com/game/show/22772821?subseason=545898
2018-19,,Sun Dec  9,Iowinds,2,Wolverines,3,,,https://www.dmyha.com/game/show/22772822?subseason=545898
2018-19,,Sun Dec  9,Bandits,1,Goldfish,7,,,https://www.dmyha.com/game/show/22772823?subseason=545898
2018-19,,Sun Dec 16,Jesters,4,Iowinds,2,,,https://www.dmyha.com/game/show/22772825?subseason=545898
2018-19,,Sun Dec 16,Wild Goose,4,Goldfish,1,,,https://www.dmyha.com/game/show/22772828?subseason=545898
2018-19,,Sun Dec 16,Moose,2,Knights,8,,,https://www.dmyha.com/game/show/22772830?subseason=545898
2018-19,,Sun Dec 16,Wolverines,1,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/22772833?subseason=545898
