0,1,2,3,4,5,6,7,8
,Sun Jan 26,Wolverines,3,The Greys,3,,,https://www.dmyha.com/game/show/26567968?subseason=623115
,Sun Jan 26,Benders,2,Hooligans,3,,,https://www.dmyha.com/game/show/26567969?subseason=623115
,Sun Jan 26,Voodoo,3,Wild Goose,2,,,https://www.dmyha.com/game/show/26567970?subseason=623115
Yes,Sun Feb  2,"Knights
 (12-3-3)",-,"Ice Dragons
 (9-7-2)",-,,2:00 PM CST,https://www.dmyha.com/game/show/26567971?subseason=623115
Yes,Sun Feb  2,"Voodoo
 (1-16-1)",-,"Wild Goose
 (5-11-2)",-,,3:15 PM CST,https://www.dmyha.com/game/show/26567972?subseason=623115
Yes,Sun Feb  2,"Vicious Squirrels
 (11-6-1)",-,"Bandits
 (11-6-1)",-,,4:30 PM CST,https://www.dmyha.com/game/show/26567973?subseason=623115
Yes,Sun Feb  2,"Scorpions
 (13-4-3)",-,"DSM Whalers
 (10-8-2)",-,,5:45 PM CST,https://www.dmyha.com/game/show/26567974?subseason=623115
Yes,Sun Feb  2,"Hooligans
 (10-7-3)",-,"Wolverines
 (3-15-2)",-,,7:00 PM CST,https://www.dmyha.com/game/show/26567975?subseason=623115
Yes,Sun Feb  2,"Benders
 (13-6-1)",-,"The Greys
 (4-13-3)",-,,8:15 PM CST,https://www.dmyha.com/game/show/26567976?subseason=623115
,Sun Feb  9,Voodoo,1,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/26569197?subseason=623115
,Sun Feb  9,Benders,6,The Greys,3,,,https://www.dmyha.com/game/show/26569199?subseason=623115
,Sun Feb  9,Wolverines,3,Scorpions,5,,,https://www.dmyha.com/game/show/26569200?subseason=623115
,Sun Feb  9,Ice Dragons,2,Bandits,1,,,https://www.dmyha.com/game/show/26569201?subseason=623115
,Sun Feb  9,Wild Goose,2,Knights,5,,,https://www.dmyha.com/game/show/26569202?subseason=623115
,Sun Feb  9,DSM Whalers,5,Hooligans,2,,,https://www.dmyha.com/game/show/26569204?subseason=623115
,Sun Feb 16,Scorpions,5,Benders,2,,,https://www.dmyha.com/game/show/26569206?subseason=623115
,Sun Feb 16,Knights,8,Ice Dragons,1,,,https://www.dmyha.com/game/show/26569207?subseason=623115
,Sun Feb 16,The Greys,0,Hooligans,4,,,https://www.dmyha.com/game/show/26569208?subseason=623115
,Sun Feb 16,Vicious Squirrels,3,Wild Goose,2,,,https://www.dmyha.com/game/show/26569209?subseason=623115
,Sun Feb 16,Wolverines,4,DSM Whalers,1,,,https://www.dmyha.com/game/show/26569211?subseason=623115
,Sun Feb 16,Bandits,5,Voodoo,0,,,https://www.dmyha.com/game/show/26569212?subseason=623115
,Sun Feb 23,Bandits,8,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/26569213?subseason=623115
,Sun Feb 23,Benders,3,Wolverines,1,,,https://www.dmyha.com/game/show/26569215?subseason=623115
,Sun Feb 23,Wild Goose,2,Ice Dragons,4,,,https://www.dmyha.com/game/show/26569216?subseason=623115
,Sun Feb 23,DSM Whalers,1,The Greys,4,,,https://www.dmyha.com/game/show/26569217?subseason=623115
,Sun Feb 23,Knights,9,Voodoo,1,,,https://www.dmyha.com/game/show/26569218?subseason=623115
,Sun Feb 23,Hooligans,4,Scorpions,3,,,https://www.dmyha.com/game/show/26569220?subseason=623115
,Sun Mar  1,Vicious Squirrels,1,Knights,2,,,https://www.dmyha.com/game/show/26569221?subseason=623115
,Sun Mar  1,Bandits,6,Wild Goose,5,,,https://www.dmyha.com/game/show/26569223?subseason=623115
,Sun Mar  1,Wolverines,1,Hooligans,6,,,https://www.dmyha.com/game/show/26569224?subseason=623115
,Sun Mar  1,Voodoo,0,Ice Dragons,2,,,https://www.dmyha.com/game/show/26569226?subseason=623115
,Sun Mar  1,Benders,2,DSM Whalers,5,,,https://www.dmyha.com/game/show/26569228?subseason=623115
,Sun Mar  1,Scorpions,5,The Greys,2,,,https://www.dmyha.com/game/show/26569229?subseason=623115
,Sun Mar  8,The Greys,5,Wolverines,4,,,https://www.dmyha.com/game/show/26569233?subseason=623115
,Sun Mar  8,Hooligans,0,Benders,4,,,https://www.dmyha.com/game/show/26569235?subseason=623115
,Sun Mar  8,Knights,5,Bandits,1,,,https://www.dmyha.com/game/show/26569240?subseason=623115
,Sun Mar  8,DSM Whalers,3,Scorpions,6,,,https://www.dmyha.com/game/show/26569244?subseason=623115
,Sun Mar  8,Wild Goose,7,Voodoo,4,,,https://www.dmyha.com/game/show/26569245?subseason=623115
,Sun Mar  8,Ice Dragons,1,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/26569247?subseason=623115
,Sun Mar 15,Scorpions,-,Wolverines,-,,Postponed,https://www.dmyha.com/game/show/26569254?subseason=623115
,Sun Mar 15,Knights,-,Wild Goose,-,,Postponed,https://www.dmyha.com/game/show/26569255?subseason=623115
,Sun Mar 15,Vicious Squirrels,-,Voodoo,-,,Postponed,https://www.dmyha.com/game/show/26569257?subseason=623115
